Algoritmo,Caso,Desv,Tiempo(ms),Evals
ES,GKD-b_45_n150_m15.txt,60.46,75.80,4699
ES,GKD-b_46_n150_m45.txt,56.84,470.60,15790
ES,GKD-b_47_n150_m45.txt,48.89,498.40,16684
ES,GKD-b_48_n150_m45.txt,46.63,551.20,18490
ES,GKD-b_49_n150_m45.txt,57.00,632.60,21193
ES,GKD-b_4_n25_m2.txt,0.00,48.00,10001
ES,GKD-b_50_n150_m45.txt,55.58,603.80,20285
ES,GKD-b_5_n25_m2.txt,0.00,50.20,10001
ES,GKD-b_6_n25_m7.txt,57.66,8.00,1551
ES,GKD-b_7_n25_m7.txt,46.28,8.00,1547
ES,GKD-b_8_n25_m7.txt,50.10,8.00,1550
ES,GKD-b_9_n25_m7.txt,55.25,8.00,1530
GRASP-NoBL,GKD-b_10_n25_m7.txt,74.55,0.00,10
GRASP-NoBL,GKD-b_11_n50_m5.txt,93.81,0.00,10
GRASP-NoBL,GKD-b_12_n50_m5.txt,93.70,0.00,10
GRASP-NoBL,GKD-b_13_n50_m5.txt,94.14,0.00,10
GRASP-NoBL,GKD-b_14_n50_m5.txt,95.33,0.00,10
GRASP-NoBL,GKD-b_15_n50_m5.txt,94.41,0.00,10
GRASP-NoBL,GKD-b_16_n50_m15.txt,84.46,0.00,10
GRASP-NoBL,GKD-b_17_n50_m15.txt,78.54,0.00,10
GRASP-NoBL,GKD-b_18_n50_m15.txt,83.16,0.00,10
GRASP-NoBL,GKD-b_19_n50_m15.txt,82.42,0.00,10
GRASP-NoBL,GKD-b_1_n25_m2.txt,0.00,0.00,10
GRASP-NoBL,GKD-b_20_n50_m15.txt,82.16,0.00,10
GRASP-NoBL,GKD-b_21_n100_m10.txt,87.91,0.00,10
GRASP-NoBL,GKD-b_22_n100_m10.txt,89.58,0.00,10
GRASP-NoBL,GKD-b_23_n100_m10.txt,89.87,0.00,10
GRASP-NoBL,GKD-b_24_n100_m10.txt,94.04,0.00,10
GRASP-NoBL,GKD-b_25_n100_m10.txt,87.17,0.00,10
GRASP-NoBL,GKD-b_26_n100_m30.txt,71.54,1.00,10
GRASP-NoBL,GKD-b_27_n100_m30.txt,78.99,0.80,10
GRASP-NoBL,GKD-b_28_n100_m30.txt,85.46,1.00,10
GRASP-NoBL,GKD-b_29_n100_m30.txt,77.68,1.00,10
GRASP-NoBL,GKD-b_2_n25_m2.txt,0.00,0.00,10
GRASP-NoBL,GKD-b_30_n100_m30.txt,80.94,1.00,10
GRASP-NoBL,GKD-b_31_n125_m12.txt,89.58,0.00,10
GRASP-NoBL,GKD-b_32_n125_m12.txt,91.47,0.00,10
GRASP-NoBL,GKD-b_33_n125_m12.txt,88.49,0.00,10
GRASP-NoBL,GKD-b_34_n125_m12.txt,90.42,0.00,10
GRASP-NoBL,GKD-b_35_n125_m12.txt,89.02,0.00,10
GRASP-NoBL,GKD-b_36_n125_m37.txt,80.78,1.00,10
