Algoritmo,Caso,Desv,Tiempo(ms),Evals
Mejor Práctica 2,GKD-b_19_n50_m15.txt,25.63,400.20,100000
Mejor Práctica 2,GKD-b_1_n25_m2.txt,0.00,258.20,100000
Mejor Práctica 2,GKD-b_20_n50_m15.txt,21.22,403.20,100000
Mejor Práctica 2,GKD-b_21_n100_m10.txt,48.46,251.00,100000
Mejor Práctica 2,GKD-b_22_n100_m10.txt,41.37,240.80,100000
Mejor Práctica 2,GKD-b_23_n100_m10.txt,43.74,242.60,100000
Mejor Práctica 2,GKD-b_24_n100_m10.txt,64.86,254.20,100000
Mejor Práctica 2,GKD-b_25_n100_m10.txt,31.37,245.80,100000
Mejor Práctica 2,GKD-b_26_n100_m30.txt,34.43,1423.40,100000
Mejor Práctica 2,GKD-b_27_n100_m30.txt,46.30,1412.20,100000
Mejor Práctica 2,GKD-b_28_n100_m30.txt,55.77,1452.00,100000
Mejor Práctica 2,GKD-b_29_n100_m30.txt,37.54,1407.00,100000
Mejor Práctica 2,GKD-b_2_n25_m2.txt,0.00,256.00,100000
Mejor Práctica 2,GKD-b_30_n100_m30.txt,54.83,1377.80,100000
Mejor Práctica 2,GKD-b_31_n125_m12.txt,54.09,381.00,100000
Mejor Práctica 2,GKD-b_32_n125_m12.txt,43.63,331.80,100000
Mejor Práctica 2,GKD-b_33_n125_m12.txt,45.74,357.20,100002
Mejor Práctica 2,GKD-b_34_n125_m12.txt,44.03,321.00,100000
Mejor Práctica 2,GKD-b_35_n125_m12.txt,43.63,345.60,100000
Mejor Práctica 2,GKD-b_36_n125_m37.txt,51.69,2129.20,100000
Mejor Práctica 2,GKD-b_37_n125_m37.txt,50.58,2207.20,100000
Mejor Práctica 2,GKD-b_38_n125_m37.txt,50.80,2183.40,100000
Mejor Práctica 2,GKD-b_39_n125_m37.txt,52.43,2098.80,100000
Mejor Práctica 2,GKD-b_3_n25_m2.txt,0.00,258.40,100000
Mejor Práctica 2,GKD-b_40_n125_m37.txt,54.11,2145.80,100000
Mejor Práctica 2,GKD-b_41_n150_m15.txt,51.42,512.20,100000
Mejor Práctica 2,GKD-b_42_n150_m15.txt,46.99,515.00,100000
Mejor Práctica 2,GKD-b_43_n150_m15.txt,44.65,478.80,100000
Mejor Práctica 2,GKD-b_44_n150_m15.txt,42.04,481.00,100000
Mejor Práctica 2,GKD-b_45_n150_m15.txt,44.29,453.80,100000
Mejor Práctica 2,GKD-b_46_n150_m45.txt,57.30,3112.80,100000
Mejor Práctica 2,GKD-b_47_n150_m45.txt,42.83,3392.40,100000
Mejor Práctica 2,GKD-b_48_n150_m45.txt,45.57,3344.60,100000
Mejor Práctica 2,GKD-b_49_n150_m45.txt,53.92,3363.00,100000
Mejor Práctica 2,GKD-b_4_n25_m2.txt,0.00,255.60,100000
Mejor Práctica 2,GKD-b_50_n150_m45.txt,49.51,3137.20,100000
Mejor Práctica 2,GKD-b_5_n25_m2.txt,0.00,255.80,100000
Mejor Práctica 2,GKD-b_6_n25_m7.txt,6.75,198.60,100000
Mejor Práctica 2,GKD-b_7_n25_m7.txt,10.85,197.40,100005
Mejor Práctica 2,GKD-b_8_n25_m7.txt,4.64,196.60,100013
Mejor Práctica 2,GKD-b_9_n25_m7.txt,14.95,195.20,100000
