Algoritmo,Desv,Tiempo(ms),Evals
BMB,51.61,95.27,4865
GRASP-NoBL,75.94,0.40,10
GRASP-SiBL,53.89,74.26,4864
Greedy,77.76,0.00,1
ILS,49.09,79.83,5133
LSrandom,53.70,81.78,4821
Mejor Práctica 2,37.80,917.69,100000
